address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Isosalon saari, Lavia, Pori",https://www.etuovi.com/kohde/80365113,2h + kk + saunarak. + ulkowc + varastorak.,2,NO,49000.0,40.0,1973,49000.0,61.57138620000001,22.4687674,255 km,2 hours 45 mins,2024-07-16,2024-08-05
"Rantatie 206 b, Savonkylä, Lappajärvi",https://www.etuovi.com/kohde/544685,2h + k + kh + s + varasto,2,NO,229000.0,80.0,1989,229000.0,63.04772499999999,23.6453736,372 km,4 hours 10 mins,2024-07-08,2024-08-05
"Rytisuontie 14, Ruka Rukatunturi, Rytisuo, Kuusamo",https://www.etuovi.com/kohde/21038219,"Tupa, k / rkt, et, 2mh, pkh, ph / wc, s ja yläkerta 2 mh, wc ja aula",5,YES,235000.0,151.0,,235000.0,66.2405473,29.1289391,833 km,9 hours 14 mins,2024-07-16,2024-08-05
"Purotie 23, Surpeenvaara, Lieksa",https://www.etuovi.com/kohde/w22779,Kesämökki + s + wc + kph + lasp,2,NO,89000.0,48.0,1962,95000.0,63.32979,29.948203,528 km,5 hours 58 mins,2024-07-08,2024-08-05
"Roinisenlahdentie 1009, Pielavesi, Pielavesi",https://www.etuovi.com/kohde/21402931,1h + tupak + parvi + s,2,YES,140000.0,60.0,1990,140000.0,63.3956721,26.3373251,433 km,4 hours 57 mins,2024-07-16,2024-08-05
"Majaniementie 24, Nerkoo, Kihniö",https://www.etuovi.com/kohde/20036103,"Tupa + mh, tupa + sauna",2,NO,198000.0,25.0,2024,198000.0,62.135488,23.193626,282 km,3 hours 3 mins,2024-07-08,2024-08-05
"Louhikonmäentie 240, Halkosaari, Seinäjoki",https://www.etuovi.com/kohde/581143,3h + k + s + ph + parvi + lasitettu terassi,3,NO,129000.0,52.0,1989,129000.0,62.883357,22.705308,371 km,4 hours 3 mins,2024-07-08,2024-08-05
"Kiviniementie 422, Paimela, Hollola",https://www.etuovi.com/kohde/580586,"2 huonetta, kuisti",2,NO,85000.0,48.0,1939,99000.0,61.0716124,25.599004,121 km,1 hour 23 mins,2024-07-08,2024-08-05
"Kemilänniementie 211 D, Kemilänniemi, Pielavesi",https://www.etuovi.com/kohde/21115885,"tupakeittiö, mh, parvi, kh, s, parveke, terassi",3,YES,125000.0,92.0,1993,138000.0,63.120885,26.628983,399 km,4 hours 36 mins,2024-07-08,2024-08-05
"Tallimäentie 234, Isojärvi, Multia",https://www.etuovi.com/kohde/20649641,"Mökki, nukkuma-aitta, sauna, puucee",,NO,55000.0,19.0,,55000.0,60.855876,26.85347,145 km,1 hour 39 mins,2024-07-08,2024-08-05
"Pirttiniementie 60f, Pirttiniemi, Kajaani",https://www.etuovi.com/kohde/20235167,"Tupa + k + 2makuusoppea + vh, rantasauna, aittavar / liiteri / puucee, var",,NO,109000.0,55.0,1982,109000.0,62.082336,28.937875,359 km,4 hours 2 mins,2024-07-08,2024-08-05
"Seppäläntie 5, Nurmes",https://www.etuovi.com/kohde/46868019,1h,1,NO,58000.0,38.0,1976,58000.0,63.5226377,29.0164678,510 km,5 hours 31 mins,2024-07-08,2024-08-05
"Murtojärventie, Hammaslahti, Joensuu",https://www.etuovi.com/kohde/35696185,"Huvila, Hammaslahti, Murtojärvi",3,YES,158000.0,100.0,2008,158000.0,62.43333,29.96667,433 km,4 hours 51 mins,2024-07-08,2024-08-05
"Eerikintie 1 B, Ranua",https://www.etuovi.com/kohde/580427,oh + k + pkh + s,1,NO,67000.0,36.0,1971,67000.0,66.2076831,26.8482627,803 km,9 hours 2 mins,2024-07-08,2024-08-05
"Sarviniemi 96, Sarviniemi, Luumäki",https://www.etuovi.com/kohde/21263485,Mökki + rantasauna,2,NO,130000.0,50.0,1945,130000.0,60.987573,27.822801,204 km,2 hours 19 mins,2024-07-08,2024-08-05
"Vihtavaarantie 30B, Kitee, Kitee",https://www.etuovi.com/kohde/21855073,tupakeittiö + makuuhuonee + tilava parvi,1,NO,179000.0,40.0,1995,179000.0,62.1357439,29.5733167,391 km,4 hours 23 mins,2024-07-08,2024-08-05
