address,url,description,rooms,winterized,price,original_price,surface,year,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Kivistöntie 132, Jukojärvi, Keuruu",https://www.etuovi.com/kohde/576184,1h + tupa + kk + s,1.0,NO,74000.0,74000.0,36.0,1980.0,62.2852054,24.870002,293 km,3 hours 15 mins,2024-07-08,2024-07-08
"Kivilahdenkuja 64, Liiansaari, Mikkeli",https://www.etuovi.com/kohde/573989,"3h, k, s, ph, erillinen wc, vh, parvi",3.0,NO,390000.0,390000.0,105.0,1990.0,61.4426022,27.7352624,254 km,2 hours 59 mins,2024-07-08,2024-07-08
"Rapsulantie 116, Rapsula, Jämsä",https://www.etuovi.com/kohde/21062515,"tupa, k, s ja aitta",1.0,NO,95000.0,95000.0,60.0,1967.0,61.8152031,25.0571772,225 km,2 hours 35 mins,2024-07-08,2024-07-08
"Lonkerotie 20 A, Vastinki, Karstula",https://www.etuovi.com/kohde/v32637,"Tupa, kk, 2 mh, wc, ph, s",3.0,YES,142000.0,142000.0,71.5,1988.0,62.9091462,25.0779395,362 km,4 hours 4 mins,2024-07-08,2024-07-08
"Aittoniementie 47, Saarenkylä, Kinnula",https://www.etuovi.com/kohde/80358083,tupakeittiö + ullakko,,NO,98000.0,98000.0,42.0,1988.0,63.27042700000001,25.158088,408 km,4 hours 31 mins,2024-07-08,2024-07-08
"Ahvenkalliontie 88, Myrskylä, Myrskylä",https://www.etuovi.com/kohde/1364526,"Hirsimökki: Tupa-keittiö, parvi, s. Vierasmökki: Tupa-keittiö, parvi",2.0,NO,150000.0,150000.0,20.0,2013.0,60.6571945,25.8702786,92.5 km,1 hour 7 mins,2024-07-08,2024-07-08
"Papelonniementie 12c, Rikkaranta, Outokumpu",https://www.etuovi.com/kohde/20830756,"1 h, kk, alkovi, s",1.0,NO,58000.0,58000.0,30.0,1969.0,62.775906,28.782362,425 km,4 hours 47 mins,2024-07-08,2024-07-08
"Parosperäntie 543, Mustajärvi, Ruovesi",https://www.etuovi.com/kohde/576174,"Tupa, kk, 2 alkovia, pukuh, sauna",,NO,65000.0,65000.0,40.0,1983.0,62.00783120000001,23.9673802,249 km,2 hours 47 mins,2024-07-08,2024-07-08
"Hyvölänniementie 109, Kurjalanranta, Leppävirta",https://www.etuovi.com/kohde/1368658,"1h, avok",1.0,NO,55000.0,55000.0,14.6,2020.0,62.54748809999999,28.1628318,361 km,4 hours 0 mins,2024-07-08,2024-07-08
"Hietalahdentie 132, Säräisniemi, Vaala",https://www.etuovi.com/kohde/w29339,3h + tupak + wc + khh + s + ak + var,3.0,YES,405000.0,405000.0,143.0,2016.0,64.3927747,26.7565121,589 km,6 hours 26 mins,2024-07-08,2024-07-08
