name,location,network,type,address,website,latitude,longitude
Savonrannan terveysasema,Savonlinna,,Health Center,"Lamminniementie 3, 58300 Savonranta",Savonrannan terveysasema (Arkistoitu – Internet Archive),62.1719,29.203981
Enonkosken terveysasema,Enonkoski,,Health Center,"Kirkkotie 6, 58175 Enonkoski",Enonkosken terveysasema (Arkistoitu – Internet Archive),62.088594,28.921624
Rantasalmen terveysasema,Rantasalmi,,Health Center,"Ilveksentie 11, 58900 Rantasalmi",Rantasalmi: Terveydenhuolto (Arkistoitu – Internet Archive),62.062823,28.29994
Sulkavan terveysasema,Sulkava,,Health Center,"Terveystie 2, 58700 Sulkava",Sulkavan terveysasema,61.789759,28.375745
Savonlinnan keskussairaalan yhteispäivystys ja ensiapu-/päivystyspoliklinikka,Savonlinna,,Health Center,"Keskussairaalantie 6, 57120 Savonlinna",Päivystys (Arkistoitu – Internet Archive),61.870649,28.85342
Keravan terveyskeskus,Kerava,,Health Center,"Metsolantie 2, 04200 Kerava","Ajanvaraus (Keravan) terveyskeskukseen. Ilta-, viikonloppu- ja yöpäivystys Peijaksen sairaalan yhteispäivystyksessä Vantaalla.",60.410275,25.087384
Nokian terveyskeskus,Nokia,,Health Center,"Maununkatu 12, 37100 Nokia","Nokian kaupungin terveyspalvelut, yö- ja viikonloppupäivystys  TAYS Ensiapu Acutassa Tampereella.",61.479126,23.505218
Siuron terveysasema,Nokia,,Health Center,"Pentintie 4, 37200 Siuro",Siuron terveysasema (Arkistoitu – Internet Archive),61.46667,23.35
Ylöjärven pääterveysasema,Ylöjärvi,,Health Center,"Mikkolantie 10, 33470 Ylöjärvi", Myös päivystys. Yöpäivystys  TAYS Ensiapu Acutassa Tampereella.,61.546529,23.599535
Kurun terveysasema,Ylöjärvi,,Health Center,"Kisatie 1, 34300 Kuru"," Päivystys Ylöjärven pääterveysasemalla, yöpäivystys  TAYS Ensiapu Acutassa Tampereella.",61.881673,23.729296
